"k","max_depth","f1_score"
3,"3",0.0411522633744856
3,"3",0.0252100840336134
3,"3",0.0251046025104603
3,"3",0.0334728033472803
3,"3",0.0333333333333333
3,"3",0.00843881856540084
3,"3",0
3,"3",0.04149377593361
3,"3",0.0251046025104603
3,"3",0.0168067226890756
3,"3",0.033195020746888
3,"3",0.0495867768595041
3,"3",0.04149377593361
3,"3",0.0252100840336134
3,"3",0.0168067226890756
3,"3",0.025
3,"3",0.0168776371308017
3,"3",0.0168067226890756
3,"3",0.0168776371308017
3,"3",0.0251046025104603
3,"3",0.04149377593361
3,"3",0.0168776371308017
3,"3",0
3,"3",0.0167364016736402
3,"3",0.04149377593361
3,"3",0.0251046025104603
3,"3",0.04149377593361
3,"3",0.0168067226890756
3,"3",0.0493827160493827
3,"3",0.0252100840336134
3,"5",0.437908496732026
3,"5",0.350877192982456
3,"5",0.348432055749129
3,"5",0.417508417508417
3,"5",0.343859649122807
3,"5",0.351724137931034
3,"5",0.36986301369863
3,"5",0.438538205980066
3,"5",0.4
3,"5",0.394557823129252
3,"5",0.426666666666667
3,"5",0.25830258302583
3,"5",0.426666666666667
3,"5",0.330985915492958
3,"5",0.332155477031802
3,"5",0.354166666666667
3,"5",0.425249169435216
3,"5",0.338028169014085
3,"5",0.321428571428571
3,"5",0.27007299270073
3,"5",0.490445859872611
3,"5",0.315412186379928
3,"5",0.371134020618557
3,"5",0.429042904290429
3,"5",0.34965034965035
3,"5",0.342657342657343
3,"5",0.359861591695502
3,"5",0.36986301369863
3,"5",0.390572390572391
3,"5",0.362369337979094
3,"None",0.795061728395062
3,"None",0.802955665024631
3,"None",0.796019900497512
3,"None",0.807785888077859
3,"None",0.788029925187032
3,"None",0.755667506297229
3,"None",0.801955990220049
3,"None",0.801932367149758
3,"None",0.822384428223844
3,"None",0.846511627906977
3,"None",0.765432098765432
3,"None",0.755208333333333
3,"None",0.785185185185185
3,"None",0.785365853658537
3,"None",0.804878048780488
3,"None",0.807785888077859
3,"None",0.770731707317073
3,"None",0.798004987531172
3,"None",0.839024390243903
3,"None",0.770780856423174
3,"None",0.795180722891566
3,"None",0.814634146341463
3,"None",0.796019900497512
3,"None",0.8
3,"None",0.769620253164557
3,"None",0.800982800982801
3,"None",0.802884615384615
3,"None",0.790931989924433
3,"None",0.797066014669927
3,"None",0.824096385542169
5,"3",0.0684931506849315
5,"3",0.0416666666666667
5,"3",0.0275862068965517
5,"3",0.0416666666666667
5,"3",0
5,"3",0.027972027972028
5,"3",0.0547945205479452
5,"3",0.027972027972028
5,"3",0.0684931506849315
5,"3",0.0277777777777778
5,"3",0.0547945205479452
5,"3",0
5,"3",0.027972027972028
5,"3",0.013986013986014
5,"3",0.0140845070422535
5,"3",0.0277777777777778
5,"3",0.0140845070422535
5,"3",0.027972027972028
5,"3",0.0277777777777778
5,"3",0.027972027972028
5,"3",0.0140845070422535
5,"3",0.0140845070422535
5,"3",0.027972027972028
5,"3",0.013986013986014
5,"3",0.0277777777777778
5,"3",0.027972027972028
5,"3",0.0413793103448276
5,"3",0
5,"3",0.027972027972028
5,"3",0
5,"3",0.0810810810810811
5,"3",0.0277777777777778
5,"3",0.0277777777777778
5,"3",0.0416666666666667
5,"3",0.0140845070422535
5,"3",0.0140845070422535
5,"3",0.0413793103448276
5,"3",0.013986013986014
5,"3",0.0416666666666667
5,"3",0.0416666666666667
5,"3",0
5,"3",0.0684931506849315
5,"3",0.0277777777777778
5,"3",0.013986013986014
5,"3",0.013986013986014
5,"3",0.0413793103448276
5,"3",0.0416666666666667
5,"3",0
5,"3",0.0140845070422535
5,"3",0.013986013986014
5,"5",0.341176470588235
5,"5",0.428571428571429
5,"5",0.430939226519337
5,"5",0.350877192982456
5,"5",0.348837209302326
5,"5",0.422222222222222
5,"5",0.358381502890173
5,"5",0.346820809248555
5,"5",0.467391304347826
5,"5",0.377142857142857
5,"5",0.395480225988701
5,"5",0.339181286549708
5,"5",0.459016393442623
5,"5",0.339181286549708
5,"5",0.433333333333333
5,"5",0.473118279569892
5,"5",0.467391304347826
5,"5",0.415730337078652
5,"5",0.30952380952381
5,"5",0.341176470588235
5,"5",0.290909090909091
5,"5",0.363636363636364
5,"5",0.331360946745562
5,"5",0.339181286549708
5,"5",0.486772486772487
5,"5",0.386363636363636
5,"5",0.41340782122905
5,"5",0.329411764705882
5,"5",0.41340782122905
5,"5",0.331360946745562
5,"5",0.459893048128342
5,"5",0.319526627218935
5,"5",0.430939226519337
5,"5",0.331360946745562
5,"5",0.339181286549708
5,"5",0.348837209302326
5,"5",0.445652173913044
5,"5",0.386363636363636
5,"5",0.415730337078652
5,"5",0.36046511627907
5,"5",0.280487804878049
5,"5",0.515789473684211
5,"5",0.339181286549708
5,"5",0.278787878787879
5,"5",0.402234636871508
5,"5",0.451612903225806
5,"5",0.311377245508982
5,"5",0.424581005586592
5,"5",0.280487804878049
5,"5",0.481283422459893
5,"None",0.8
5,"None",0.841698841698842
5,"None",0.82258064516129
5,"None",0.804878048780488
5,"None",0.778242677824268
5,"None",0.836653386454183
5,"None",0.775
5,"None",0.830039525691699
5,"None",0.801652892561983
5,"None",0.82258064516129
5,"None",0.790123456790123
5,"None",0.785425101214575
5,"None",0.759493670886076
5,"None",0.819672131147541
5,"None",0.82258064516129
5,"None",0.836653386454183
5,"None",0.8
5,"None",0.786885245901639
5,"None",0.753138075313808
5,"None",0.817813765182186
5,"None",0.814814814814815
5,"None",0.801587301587302
5,"None",0.769874476987448
5,"None",0.785123966942149
5,"None",0.844621513944223
5,"None",0.792
5,"None",0.778688524590164
5,"None",0.827309236947791
5,"None",0.825910931174089
5,"None",0.827868852459016
5,"None",0.774193548387097
5,"None",0.786610878661088
5,"None",0.834645669291339
5,"None",0.804979253112033
5,"None",0.834645669291338
5,"None",0.8
5,"None",0.825396825396825
5,"None",0.814516129032258
5,"None",0.747899159663866
5,"None",0.807843137254902
5,"None",0.801619433198381
5,"None",0.780487804878049
5,"None",0.844621513944223
5,"None",0.804878048780488
5,"None",0.825910931174089
5,"None",0.804780876494024
5,"None",0.8359375
5,"None",0.793248945147679
5,"None",0.766666666666667
5,"None",0.80327868852459
10,"3",0.0277777777777778
10,"3",0
10,"3",0.0810810810810811
10,"3",0
10,"3",0.0277777777777778
10,"3",0
10,"3",0.0547945205479452
10,"3",0.0277777777777778
10,"3",0
10,"3",0.0555555555555556
10,"3",0.0277777777777778
10,"3",0
10,"3",0.028169014084507
10,"3",0
10,"3",0
10,"3",0.0277777777777778
10,"3",0.0810810810810811
10,"3",0.08
10,"3",0.0547945205479452
10,"3",0
10,"3",0.0547945205479452
10,"3",0
10,"3",0.0547945205479452
10,"3",0.08
10,"3",0.0277777777777778
10,"3",0.028169014084507
10,"3",0
10,"3",0.0547945205479452
10,"3",0
10,"3",0.0547945205479452
10,"3",0.028169014084507
10,"3",0
10,"3",0.0810810810810811
10,"3",0.028169014084507
10,"3",0.0277777777777778
10,"3",0
10,"3",0.0277777777777778
10,"3",0.0547945205479452
10,"3",0.0277777777777778
10,"3",0.0810810810810811
10,"3",0
10,"3",0
10,"3",0.0277777777777778
10,"3",0
10,"3",0
10,"3",0
10,"3",0.0277777777777778
10,"3",0.028169014084507
10,"3",0.0810810810810811
10,"3",0.0277777777777778
10,"3",0.028169014084507
10,"3",0
10,"3",0.0277777777777778
10,"3",0.0810810810810811
10,"3",0
10,"3",0
10,"3",0.0810810810810811
10,"3",0.0277777777777778
10,"3",0.0547945205479452
10,"3",0.0277777777777778
10,"3",0.0277777777777778
10,"3",0
10,"3",0
